Brasil e Município,Origem da orientação técnica recebida,Grupos de atividade econômica,Irrigação localizada  gotejamento,Irrigação localizada  microaspersão,Irrigação localizada  outros métodos,Irrigação por superfície  inundação,Irrigação por superfície  sulcos,Irrigação por superfície  outros métodos,Irrigação por aspersão  autopropelido/carretel enrolador,Irrigação por aspersão  pivô central,Irrigação por aspersão  aspersão convencional,Outros métodos de irrigação  subsuperficial,Outros métodos de irrigação  molhação,Irrigação localizada  gotejamento,Irrigação localizada  microaspersão,Irrigação localizada  outros métodos,Irrigação por superfície  inundação,Irrigação por superfície  sulcos,Irrigação por superfície  outros métodos,Irrigação por aspersão  autopropelido/carretel enrolador,Irrigação por aspersão  pivô central,Irrigação por aspersão  aspersão convencional,Outros métodos de irrigação  subsuperficial,Outros métodos de irrigação  molhação,Irrigação localizada  gotejamento,Irrigação localizada  microaspersão,Irrigação localizada  outros métodos,Irrigação por superfície  inundação,Irrigação por superfície  sulcos,Irrigação por superfície  outros métodos,Irrigação por aspersão  autopropelido/carretel enrolador,Irrigação por aspersão  pivô central,Irrigação por aspersão  aspersão convencional,Outros métodos de irrigação  subsuperficial,Outros métodos de irrigação  molhação,Irrigação localizada  gotejamento,Irrigação localizada  microaspersão,Irrigação localizada  outros métodos,Irrigação por superfície  inundação,Irrigação por superfície  sulcos,Irrigação por superfície  outros métodos,Irrigação por aspersão  autopropelido/carretel enrolador,Irrigação por aspersão  pivô central,Irrigação por aspersão  aspersão convencional,Outros métodos de irrigação  subsuperficial,Outros métodos de irrigação  molhação,Irrigação localizada  gotejamento,Irrigação localizada  microaspersão,Irrigação localizada  outros métodos,Irrigação por superfície  inundação,Irrigação por superfície  sulcos,Irrigação por superfície  outros métodos,Irrigação por aspersão  autopropelido/carretel enrolador,Irrigação por aspersão  pivô central,Irrigação por aspersão  aspersão convencional,Outros métodos de irrigação  subsuperficial,Outros métodos de irrigação  molhação,Irrigação localizada  gotejamento,Irrigação localizada  microaspersão,Irrigação localizada  outros métodos,Irrigação por superfície  inundação,Irrigação por superfície  sulcos,Irrigação por superfície  outros métodos,Irrigação por aspersão  autopropelido/carretel enrolador,Irrigação por aspersão  pivô central,Irrigação por aspersão  aspersão convencional,Outros métodos de irrigação  subsuperficial,Outros métodos de irrigação  molhação,Irrigação localizada  gotejamento,Irrigação localizada  microaspersão,Irrigação localizada  outros métodos,Irrigação por superfície  inundação,Irrigação por superfície  sulcos,Irrigação por superfície  outros métodos,Irrigação por aspersão  autopropelido/carretel enrolador,Irrigação por aspersão  pivô central,Irrigação por aspersão  aspersão convencional,Outros métodos de irrigação  subsuperficial,Outros métodos de irrigação  molhação,Irrigação localizada  gotejamento,Irrigação localizada  microaspersão,Irrigação localizada  outros métodos,Irrigação por superfície  inundação,Irrigação por superfície  sulcos,Irrigação por superfície  outros métodos,Irrigação por aspersão  autopropelido/carretel enrolador,Irrigação por aspersão  pivô central,Irrigação por aspersão  aspersão convencional,Outros métodos de irrigação  subsuperficial,Outros métodos de irrigação  molhação
Itiúba (BA),Total,Produção de lavouras temporárias,6,2,,,1,,,,4,,7,1,,,,1,,,,2,,,5,2,,,,,,,2,,7,4,1,,,,,,,2,,7,1,1,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,2,,,5,2,,,,,,,2,,7
Itororó (BA),Total,Total,,,,,,,,,5,,3,,,,,,,,,2,,,,,,,,,,,3,,3,,,,,,,,,1,,3,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,3,,3
Itororó (BA),Total,Produção de lavouras temporárias,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
Ituaçu (BA),Total,Total,846,445,1,2,24,2,1,2,17,1,23,225,119,,,5,1,,2,4,1,5,621,326,1,2,19,1,1,,13,,18,498,263,,2,17,1,,,12,,13,123,63,1,,2,,1,,1,,5,,,,,,,,,,,,225,119,,,5,1,,2,4,1,5,621,326,1,2,19,1,1,,13,,18
Ituaçu (BA),Total,Produção de lavouras temporárias,148,117,1,,13,,,,6,,6,44,20,,,1,,,,,,1,104,97,1,,12,,,,6,,5,95,80,,,10,,,,5,,4,9,17,1,,2,,,,1,,1,,,,,,,,,,,,44,20,,,1,,,,,,1,104,97,1,,12,,,,6,,5
Ituberá (BA),Total,Total,3,1,,1,1,1,,,5,3,14,1,,,,,,,,1,,1,2,1,,1,1,1,,,4,3,13,,1,,1,1,1,,,1,3,13,2,,,,,,,,3,,,,,,,,,,,,,,1,,,,,,,,1,,1,2,1,,1,1,1,,,4,3,13
Ituberá (BA),Total,Produção de lavouras temporárias,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Iuiu (BA),Total,Total,54,63,,,,50,2,4,93,1,,12,17,,,,12,,4,20,1,,42,46,,,,38,2,,73,,,27,21,,,,26,1,,32,,,15,25,,,,12,1,,41,,,,,,,,,,,,,,12,17,,,,12,,4,20,1,,42,46,,,,38,2,,73,,
Iuiu (BA),Total,Produção de lavouras temporárias,15,15,,,,7,,1,17,,,2,5,,,,1,,1,2,,,13,10,,,,6,,,15,,,11,8,,,,4,,,6,,,2,2,,,,2,,,9,,,,,,,,,,,,,,2,5,,,,1,,1,2,,,13,10,,,,6,,,15,,
Jaborandi (BA),Total,Total,21,37,2,10,50,9,,12,50,48,14,3,5,,2,2,1,,11,6,3,,18,32,2,8,48,8,,1,44,45,14,10,24,2,8,41,6,,,33,38,14,8,8,,,7,2,,,11,7,,,,,,,,,1,,,,3,4,,2,2,1,,2,6,3,,18,33,2,8,48,8,,10,44,45,14
Jaborandi (BA),Total,Produção de lavouras temporárias,2,5,,,21,1,,7,9,32,6,,,,,1,,,7,1,1,,2,5,,,20,1,,,8,31,6,2,5,,,16,1,,,8,25,6,,,,,4,,,,,6,,,,,,,,,,,,,,,,,1,,,1,1,1,,2,5,,,20,1,,6,8,31,6
Jacaraci (BA),Total,Total,52,98,7,,8,24,,,27,7,86,11,25,1,,1,2,,,2,1,17,41,73,6,,7,22,,,25,6,69,25,56,4,,6,18,,,20,4,68,16,17,2,,1,4,,,5,2,1,,,,,,,,,,,,11,25,1,,1,2,,,2,1,17,41,73,6,,7,22,,,25,6,69
Jacaraci (BA),Total,Produção de lavouras temporárias,10,35,3,,5,15,,,10,1,32,1,7,,,,1,,,,1,7,9,28,3,,5,14,,,10,,25,7,25,2,,4,11,,,9,,25,2,3,1,,1,3,,,1,,,,,,,,,,,,,,1,7,,,,1,,,,1,7,9,28,3,,5,14,,,10,,25
Jacobina (BA),Total,Total,120,81,5,,32,2,,,18,9,154,41,24,,,2,,,,3,2,35,79,57,5,,30,2,,,15,7,119,59,49,3,,26,2,,,11,6,103,20,8,2,,4,,,,4,1,16,,,,,,,,,,,,41,24,,,2,,,,3,2,35,79,57,5,,30,2,,,15,7,119
Jacobina (BA),Total,Produção de lavouras temporárias,28,17,3,,5,,,,5,2,32,9,5,,,2,,,,1,,3,19,12,3,,3,,,,4,2,29,16,9,3,,3,,,,4,2,25,3,3,,,,,,,,,4,,,,,,,,,,,,9,5,,,2,,,,1,,3,19,12,3,,3,,,,4,2,29
Jaguaquara (BA),Total,Total,155,647,6,5,2,,1,,171,92,145,38,81,,1,1,,,,27,12,32,117,566,6,4,1,,1,,144,80,113,83,333,4,3,1,,,,111,44,111,34,231,2,1,,,1,,33,36,2,,2,,,,,,,,,,38,83,,1,1,,,,27,12,32,117,564,6,4,1,,1,,144,80,113
Jaguaquara (BA),Total,Produção de lavouras temporárias,9,56,,,1,,,,16,,35,,7,,,1,,,,1,,2,9,49,,,,,,,15,,33,9,39,,,,,,,14,,33,,10,,,,,,,1,,,,,,,,,,,,,,,7,,,1,,,,1,,2,9,49,,,,,,,15,,33
Jaguarari (BA),Total,Total,55,10,1,,4,,,,,,6,12,2,1,,2,,,,,,2,43,8,,,2,,,,,,4,32,4,,,2,,,,,,3,10,4,,,,,,,,,1,1,,,,,,,,,,,12,2,1,,2,,,,,,2,43,8,,,2,,,,,,4
Jaguarari (BA),Total,Produção de lavouras temporárias,16,1,,,1,,,,,,1,3,1,,,,,,,,,,13,,,,1,,,,,,1,9,,,,1,,,,,,,3,,,,,,,,,,1,1,,,,,,,,,,,3,1,,,,,,,,,,13,,,,1,,,,,,1
Jaguaripe (BA),Total,Total,3,3,,,,,2,,,,23,2,3,,,,,2,,,,10,1,,,,,,,,,,13,,,,,,,,,,,9,,,,,,,,,,,4,1,,,,,,,,,,,3,3,,,,,2,,,,10,,,,,,,,,,,13
Jaguaripe (BA),Total,Produção de lavouras temporárias,1,,,,,,1,,,,13,,,,,,,1,,,,4,1,,,,,,,,,,9,,,,,,,,,,,6,,,,,,,,,,,3,1,,,,,,,,,,,1,,,,,,1,,,,4,,,,,,,,,,,9
Jandaíra (BA),Total,Total,5,5,,,,,,,1,,45,3,4,,,,,,,,,19,2,1,,,,,,,1,,26,,,,,,,,,,,19,2,1,,,,,,,1,,7,,,,,,,,,,,,3,4,,,,,,,,,19,2,1,,,,,,,1,,26
Jandaíra (BA),Total,Produção de lavouras temporárias,,1,,,,,,,,,14,,1,,,,,,,,,6,,,,,,,,,,,8,,,,,,,,,,,6,,,,,,,,,,,2,,,,,,,,,,,,,1,,,,,,,,,6,,,,,,,,,,,8
Jequié (BA),Total,Total,170,126,4,,6,6,1,5,210,6,185,58,26,1,,3,3,,3,44,1,44,112,100,3,,3,3,1,2,166,5,141,82,79,3,,2,2,1,2,133,5,128,30,21,,,1,1,,,33,,13,,,,,,,,,,,,58,26,1,,3,3,,3,44,1,44,112,100,3,,3,3,1,2,166,5,141
Jequié (BA),Total,Produção de lavouras temporárias,65,21,,,3,,,1,39,,35,19,5,,,1,,,1,10,,8,46,16,,,2,,,,29,,27,34,14,,,1,,,,24,,25,12,2,,,1,,,,5,,2,,,,,,,,,,,,19,5,,,1,,,1,10,,8,46,16,,,2,,,,29,,27
Jeremoabo (BA),Total,Total,198,107,3,,121,1,,2,110,4,176,35,18,,,21,,,1,33,1,34,163,89,3,,100,1,,1,77,3,142,116,50,,,73,1,,1,59,3,128,47,39,3,,27,,,,18,,14,,,,,,,,,,,,35,18,,,21,,,1,33,1,34,163,89,3,,100,1,,1,77,3,142
Jeremoabo (BA),Total,Produção de lavouras temporárias,55,16,,,15,,,,17,,30,10,3,,,3,,,,5,,6,45,13,,,12,,,,12,,24,33,10,,,8,,,,9,,22,12,3,,,4,,,,3,,2,,,,,,,,,,,,10,3,,,3,,,,5,,6,45,13,,,12,,,,12,,24
Jiquiriçá (BA),Total,Total,3,4,,,,,,,2,,11,,2,,,,,,,,,1,3,2,,,,,,,2,,10,2,1,,,,,,,2,,8,1,1,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,1,3,2,,,,,,,2,,10
Jiquiriçá (BA),Total,Produção de lavouras temporárias,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
Jitaúna (BA),Total,Total,2,5,,,,,,,13,6,56,,2,,,,,,,6,,5,2,3,,,,,,,7,6,51,2,3,,,,,,,4,5,43,,,,,,,,,3,1,8,,,,,,,,,,,,,2,,,,,,,6,,5,2,3,,,,,,,7,6,51
Jitaúna (BA),Total,Produção de lavouras temporárias,1,,,,,,,,,1,7,,,,,,,,,,,,1,,,,,,,,,1,7,1,,,,,,,,,1,6,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,7
João Dourado (BA),Total,Total,317,60,,,,,,25,2,,5,82,13,,,,,,14,2,,1,235,47,,,,,,11,,,4,156,25,,,,,,3,,,4,78,22,,,,,,8,,,,1,,,,,,,,,,,83,13,,,,,,14,2,,1,234,47,,,,,,11,,,4
João Dourado (BA),Total,Produção de lavouras temporárias,189,24,,,,,,15,1,,2,54,6,,,,,,9,1,,,135,18,,,,,,6,,,2,95,12,,,,,,3,,,2,39,6,,,,,,3,,,,1,,,,,,,,,,,55,6,,,,,,9,1,,,134,18,,,,,,6,,,2
Juazeiro (BA),Total,Total,2016,1715,14,2,1220,4,,4,32,36,278,851,783,5,,365,2,,3,22,4,105,1165,932,9,2,855,2,,1,10,32,173,583,277,3,2,391,1,,1,4,11,140,565,640,6,,462,1,,,6,21,31,17,15,,,2,,,,,,2,857,783,5,,366,2,,,21,4,107,1159,932,9,2,854,2,,4,11,32,171
Juazeiro (BA),Total,Produção de lavouras temporárias,557,119,1,,146,2,,1,2,3,31,209,46,1,,47,2,,1,1,1,13,348,73,,,99,,,,1,2,18,150,27,,,67,,,,,2,16,190,45,,,32,,,,1,,2,8,1,,,,,,,,,,216,47,1,,46,2,,,1,1,13,341,72,,,100,,,1,1,2,18
Jucuruçu (BA),Total,Total,3,2,,1,,,1,,2,,6,1,,,,,,1,,1,,,2,2,,1,,,,,1,,6,1,1,,,,,,,,,5,1,1,,1,,,,,1,,1,,,,,,,,,,,,1,,,,,,1,,1,,,2,2,,1,,,,,1,,6
Jucuruçu (BA),Total,Produção de lavouras temporárias,1,,,,,,,,1,,2,,,,,,,,,1,,,1,,,,,,,,,,2,1,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,2
Jussara (BA),Total,Total,318,4,,,,,,1,,,1,77,2,,,,,,1,,,,241,2,,,,,,,,,1,202,,,,,,,,,,1,39,2,,,,,,,,,,,,,,,,,,,,,77,2,,,,,,1,,,,241,2,,,,,,,,,1
Jussara (BA),Total,Produção de lavouras temporárias,144,1,,,,,,,,,,38,,,,,,,,,,,106,1,,,,,,,,,,99,,,,,,,,,,,7,1,,,,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,106,1,,,,,,,,,
Jussari (BA),Total,Total,,1,,,,,,,,,4,,1,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,3,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,4
Jussari (BA),Total,Produção de lavouras temporárias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jussiape (BA),Total,Total,153,59,,6,72,,,,16,11,23,25,12,,,13,,,,,1,1,128,47,,6,59,,,,16,10,22,92,28,,5,48,,,,13,8,18,36,19,,1,11,,,,3,2,4,,,,,,,,,,,,25,12,,,13,,,,,1,1,128,47,,6,59,,,,16,10,22
Jussiape (BA),Total,Produção de lavouras temporárias,21,6,,,47,,,,2,8,5,4,2,,,9,,,,,1,,17,4,,,38,,,,2,7,5,13,3,,,27,,,,1,6,4,4,1,,,11,,,,1,1,1,,,,,,,,,,,,4,2,,,9,,,,,1,,17,4,,,38,,,,2,7,5
Lafaiete Coutinho (BA),Total,Total,82,1,,,,,,,3,3,152,38,1,,,,,,,3,2,35,44,,,,,,,,,1,117,30,,,,,,,,,,102,13,,,,,,,,,1,15,1,,,,,,,,,,,39,1,,,,,,,3,2,35,43,,,,,,,,,1,117
Lafaiete Coutinho (BA),Total,Produção de lavouras temporárias,7,,,,,,,,1,1,37,,,,,,,,,1,,10,7,,,,,,,,,1,27,6,,,,,,,,,,26,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,1,,10,7,,,,,,,,,1,27
Lagoa Real (BA),Total,Total,266,2,1,,,,,,6,1,125,52,1,,,,,,,2,,33,214,1,1,,,,,,4,1,92,139,1,1,,,,,,3,,70,75,,,,,,,,1,1,22,,,,,,,,,,,,52,1,,,,,,,2,,33,214,1,1,,,,,,4,1,92
Lagoa Real (BA),Total,Produção de lavouras temporárias,57,1,1,,,,,,2,,29,18,1,,,,,,,1,,10,39,,1,,,,,,1,,19,31,,1,,,,,,1,,16,8,,,,,,,,,,3,,,,,,,,,,,,18,1,,,,,,,1,,10,39,,1,,,,,,1,,19
Laje (BA),Total,Total,2,8,,,,,,1,2,2,50,,4,,,,,,1,1,,14,2,4,,,,,,,1,2,36,1,3,,,,,,,,1,31,1,1,,,,,,,1,1,5,,,,,,,,,,,,,4,,,,,,,1,,14,2,4,,,,,,1,1,2,36
Laje (BA),Total,Produção de lavouras temporárias,1,2,,,,,,,1,,12,,,,,,,,,1,,2,1,2,,,,,,,,,10,,1,,,,,,,,,9,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,2,1,2,,,,,,,,,10
Lajedão (BA),Total,Total,3,6,,,,,,,,,2,1,4,,,,,,,,,,2,2,,,,,,,,,2,2,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,1,4,,,,,,,,,,2,2,,,,,,,,,2
Lajedão (BA),Total,Produção de lavouras temporárias,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
Lajedinho (BA),Total,Total,14,5,,,,,,,1,,69,5,4,,,,,,,,,20,9,1,,,,,,,1,,49,6,,,,,,,,1,,44,3,1,,,,,,,,,5,,,,,,,,,,,,5,4,,,,,,,,,20,9,1,,,,,,,1,,49
Lajedinho (BA),Total,Produção de lavouras temporárias,1,,,,,,,,,,28,,,,,,,,,,,11,1,,,,,,,,,,17,1,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,1,,,,,,,,,,17
Lajedo do Tabocal (BA),Total,Total,113,1,,,,,,,,123,1,15,1,,,,,,,,21,,98,,,,,,,,,102,1,61,,,,,,,,,97,,35,,,,,,,,,5,1,2,,,,,,,,,,,17,1,,,,,,,,21,,96,,,,,,,,,102,1
Lajedo do Tabocal (BA),Total,Produção de lavouras temporárias,34,1,,,,,,,,16,,4,1,,,,,,,,,,30,,,,,,,,,16,,19,,,,,,,,,11,,11,,,,,,,,,5,,,,,,,,,,,,,4,1,,,,,,,,,,30,,,,,,,,,16,
Lamarão (BA),Total,Total,8,1,,,,,,,2,2,110,2,,,,,,,,1,1,39,6,1,,,,,,,1,1,71,3,,,,,,,,1,1,67,3,1,,,,,,,,,4,,,,,,,,,,,,2,,,,,,,,1,1,39,6,1,,,,,,,1,1,71
Lamarão (BA),Total,Produção de lavouras temporárias,,,,,,,,,,,19,,,,,,,,,,,7,,,,,,,,,,,12,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,12
Lapão (BA),Total,Total,527,326,1,,,,,55,9,,2,142,72,1,,,,,22,1,,,385,254,,,,,,33,8,,2,212,87,,,,,,3,4,,2,171,167,,,,,,29,4,,,2,,,,,,,1,,,,144,72,1,,,,,23,1,,,383,254,,,,,,32,8,,2
Lapão (BA),Total,Produção de lavouras temporárias,218,53,,,,,,12,1,,,69,13,,,,,,7,,,,149,40,,,,,,5,1,,,101,21,,,,,,1,1,,,46,19,,,,,,3,,,,2,,,,,,,1,,,,71,13,,,,,,8,,,,147,40,,,,,,4,1,,
Lauro de Freitas (BA),Total,Total,,1,,,,,,,2,2,16,,1,,,,,,,1,,5,,,,,,,,,1,2,11,,,,,,,,,,,7,,,,,,,,,1,2,4,,,,,,,,,,,,,1,,,,,,,1,,5,,,,,,,,,1,2,11
Lauro de Freitas (BA),Total,Produção de lavouras temporárias,,,,,,,,,,,4,,,,,,,,,,,1,,,,,,,,,,,3,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,3
Lençóis (BA),Total,Total,104,24,,,,,,2,5,2,11,43,9,,,,,,2,2,1,4,61,15,,,,,,,3,1,7,55,12,,,,,,,3,1,6,6,3,,,,,,,,,1,,,,,,,,,,,,43,9,,,,,,2,2,1,4,61,15,,,,,,,3,1,7
Lençóis (BA),Total,Produção de lavouras temporárias,34,9,,,,,,,2,,4,16,3,,,,,,,,,2,18,6,,,,,,,2,,2,16,5,,,,,,,2,,2,2,1,,,,,,,,,,,,,,,,,,,,,16,3,,,,,,,,,2,18,6,,,,,,,2,,2
Licínio de Almeida (BA),Total,Total,279,205,8,,,,,,11,3,9,120,70,6,,,,,,2,1,,159,135,2,,,,,,9,2,9,110,101,2,,,,,,5,2,8,49,34,,,,,,,4,,1,,,,,,,,,,,,120,70,6,,,,,,2,1,,159,135,2,,,,,,9,2,9
Licínio de Almeida (BA),Total,Produção de lavouras temporárias,66,32,4,,,,,,3,,3,30,11,4,,,,,,,,,36,21,,,,,,,3,,3,24,17,,,,,,,2,,2,12,4,,,,,,,1,,1,,,,,,,,,,,,30,11,4,,,,,,,,,36,21,,,,,,,3,,3
Livramento de Nossa Senhora (BA),Total,Total,1768,1528,105,10,3,,,,27,1,82,137,331,11,4,,,,,2,,5,1631,1197,94,6,3,,,,25,1,77,1310,774,82,6,2,,,,17,1,68,319,419,12,,1,,,,8,,9,2,4,,,,,,,,,,138,335,11,4,,,,,2,,5,1630,1193,94,6,3,,,,25,1,77
Livramento de Nossa Senhora (BA),Total,Produção de lavouras temporárias,64,41,3,4,,,,,3,,11,5,8,,1,,,,,,,,59,33,3,3,,,,,3,,11,46,28,3,3,,,,,3,,9,13,5,,,,,,,,,2,,,,,,,,,,,,5,8,,1,,,,,,,,59,33,3,3,,,,,3,,11
Luís Eduardo Magalhães (BA),Total,Total,50,26,,,,,,23,40,,2,15,10,,,,,,23,20,,,35,16,,,,,,,20,,2,19,4,,,,,,,7,,1,15,12,,,,,,,13,,1,1,,,,,,,,,,,15,9,,,,,,8,20,,,35,17,,,,,,15,20,,2
Luís Eduardo Magalhães (BA),Total,Produção de lavouras temporárias,23,7,,,,,,17,8,,,6,4,,,,,,17,3,,,17,3,,,,,,,5,,,9,1,,,,,,,4,,,8,2,,,,,,,1,,,,,,,,,,,,,,5,4,,,,,,6,3,,,18,3,,,,,,11,5,,
Macajuba (BA),Total,Total,1,,,,,,,,,2,24,1,,,,,,,,,,3,,,,,,,,,,2,21,,,,,,,,,,,19,,,,,,,,,,2,2,,,,,,,,,,,,1,,,,,,,,,,3,,,,,,,,,,2,21
Macajuba (BA),Total,Produção de lavouras temporárias,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Macarani (BA),Total,Total,,1,,,,,,,8,,3,,,,,,,,,6,,2,,1,,,,,,,2,,1,,,,,,,,,,,1,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,6,,2,,1,,,,,,,2,,1
Macarani (BA),Total,Produção de lavouras temporárias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macaúbas (BA),Total,Total,169,22,4,10,6,3,,,63,31,147,70,11,,2,1,,,,24,3,38,99,11,4,8,5,3,,,39,28,109,67,7,3,8,3,3,,,28,26,99,32,4,1,,2,,,,10,2,10,,,,,,,,,1,,,70,11,,2,1,,,,25,3,38,99,11,4,8,5,3,,,38,28,109
Macaúbas (BA),Total,Produção de lavouras temporárias,34,6,1,2,3,1,,,17,14,44,15,5,,,1,,,,5,2,14,19,1,1,2,2,1,,,12,12,30,16,,1,2,2,1,,,8,12,29,3,1,,,,,,,4,,1,,,,,,,,,,,,15,5,,,1,,,,5,2,14,19,1,1,2,2,1,,,12,12,30
Macururé (BA),Total,Total,13,,,,1,,,,,,2,4,,,,,,,,,,1,9,,,,1,,,,,,1,6,,,,,,,,,,1,3,,,,1,,,,,,,,,,,,,,,,,,4,,,,,,,,,,1,9,,,,1,,,,,,1
Macururé (BA),Total,Produção de lavouras temporárias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maetinga (BA),Total,Total,30,,,,,,,,2,1,20,7,,,,,,,,,,,23,,,,,,,,2,1,20,18,,,,,,,,2,1,16,5,,,,,,,,,,4,,,,,,,,,,,,7,,,,,,,,,,,23,,,,,,,,2,1,20
Maetinga (BA),Total,Produção de lavouras temporárias,7,,,,,,,,,,8,1,,,,,,,,,,,6,,,,,,,,,,8,5,,,,,,,,,,5,1,,,,,,,,,,3,,,,,,,,,,,,1,,,,,,,,,,,6,,,,,,,,,,8
Maiquinique (BA),Total,Total,,,,,,,,,19,,,,,,,,,,,6,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,13,,
Maiquinique (BA),Total,Produção de lavouras temporárias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mairi (BA),Total,Total,21,4,,,,,,,1,1,176,8,1,,,,,,,,1,52,13,3,,,,,,,1,,124,9,2,,,,,,,,,96,4,1,,,,,,,1,,28,,,,,,,,,,,,8,1,,,,,,,,1,52,13,3,,,,,,,1,,124
Mairi (BA),Total,Produção de lavouras temporárias,1,1,,,,,,,,,17,,,,,,,,,,,5,1,1,,,,,,,,,12,1,1,,,,,,,,,11,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,5,1,1,,,,,,,,,12
Malhada (BA),Total,Total,251,160,1,,2,,,10,57,,27,38,34,,,,,,10,17,,5,213,126,1,,2,,,,40,,22,161,88,,,2,,,,21,,21,52,38,1,,,,,,19,,1,,,,,,,,,,,,38,34,,,,,,6,17,,5,213,126,1,,2,,,4,40,,22
Malhada (BA),Total,Produção de lavouras temporárias,83,53,,,,,,4,15,,13,14,14,,,,,,4,2,,2,69,39,,,,,,,13,,11,55,32,,,,,,,6,,11,14,7,,,,,,,7,,,,,,,,,,,,,,14,14,,,,,,3,2,,2,69,39,,,,,,1,13,,11
Malhada de Pedras (BA),Total,Total,155,1,,,,,,,5,,89,63,1,,,,,,,2,,20,92,,,,,,,,3,,69,66,,,,,,,,,,62,26,,,,,,,,3,,7,,,,,,,,,,,,63,1,,,,,,,2,,20,92,,,,,,,,3,,69
Malhada de Pedras (BA),Total,Produção de lavouras temporárias,53,,,,,,,,1,,28,23,,,,,,,,,,4,30,,,,,,,,1,,24,26,,,,,,,,,,22,4,,,,,,,,1,,2,,,,,,,,,,,,23,,,,,,,,,,4,30,,,,,,,,1,,24
Manoel Vitorino (BA),Total,Total,63,7,,,2,,,1,4,,52,12,5,,,,,,1,2,,4,51,2,,,2,,,,2,,48,28,2,,,2,,,,1,,38,23,,,,,,,,1,,10,,,,,,,,,,,,12,5,,,,,,,1,,4,51,2,,,2,,,1,3,,48
Manoel Vitorino (BA),Total,Produção de lavouras temporárias,17,2,,,1,,,,2,,15,2,,,,,,,,1,,1,15,2,,,1,,,,1,,14,5,2,,,1,,,,,,8,10,,,,,,,,1,,6,,,,,,,,,,,,2,,,,,,,,1,,1,15,2,,,1,,,,1,,14
Mansidão (BA),Total,Total,2,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,
Mansidão (BA),Total,Produção de lavouras temporárias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
